load1,load2,load3,load4,load5,load6,load7,label
0,3,5,18,14,0,0,C2
0,4,6,21,13,0,0,C2
0,3,6,21,13,0,0,C2
0,3,6,21,14,0,0,C2
0,4,7,21,14,0,0,C2
0,4,7,20,14,0,0,C2
0,4,7,21,14,0,0,C2
0,4,6,21,14,0,0,C2
0,4,6,21,14,0,0,C2
0,4,6,21,14,0,0,C2
0,4,5,20,13,0,0,C2
0,4,6,20,14,0,0,C2
0,4,7,19,14,0,0,C2
0,4,6,19,15,0,0,C2
0,3,3,18,14,0,0,C2
0,3,4,18,15,0,0,C2
0,3,5,18,15,0,0,C2
0,3,6,17,15,0,0,C2
0,3,6,17,15,0,0,C2
0,3,5,17,15,0,0,C2
0,3,8,16,15,0,0,C2
0,3,7,17,14,0,0,C2
0,4,7,18,14,0,0,C2
1,5,8,18,15,0,0,C2
0,3,7,17,15,0,0,C2
0,4,8,17,15,0,0,C2
0,3,8,16,15,0,0,C2
0,3,8,16,15,0,0,C2
0,3,8,16,15,0,0,C2
0,3,8,16,15,0,0,C2
0,3,8,17,15,0,0,C2
0,3,8,16,15,0,0,C2
0,3,8,16,15,0,0,C2
0,3,8,16,15,0,0,C2
0,3,8,17,15,0,0,C2
0,3,8,16,15,0,0,C2
0,3,7,17,15,0,0,C2
0,3,7,17,14,0,0,C2
0,3,7,17,14,0,0,C2
0,3,7,17,15,0,0,C2
0,4,8,17,14,0,0,C2
0,4,7,17,14,0,0,C2
1,4,8,17,14,0,0,C2
0,4,8,17,14,0,0,C2
0,4,8,17,14,0,0,C2
1,4,8,16,14,0,0,C2
1,4,8,16,14,0,0,C2
0,3,6,17,14,0,0,C2
0,4,7,18,14,0,0,C2
0,3,6,18,15,0,0,C2
0,3,6,18,14,0,0,C2
0,3,5,17,13,0,0,C2
0,4,6,19,13,0,0,C2
0,4,5,18,13,0,0,C2
0,4,4,18,13,0,0,C2
0,4,4,18,13,0,0,C2
0,4,5,18,13,0,0,C2
0,4,5,18,13,0,0,C2
0,4,5,18,14,0,0,C2
0,3,5,18,14,0,0,C2
0,4,7,18,14,0,0,C2
0,4,6,18,14,0,0,C2
0,4,6,19,14,0,0,C2
0,4,6,18,14,0,0,C2
0,4,6,18,14,0,0,C2
0,4,6,17,14,0,0,C2
0,4,7,17,14,0,0,C2
0,4,7,18,14,0,0,C2
0,4,6,18,14,0,0,C2
0,4,6,18,14,0,0,C2
0,4,5,21,15,0,0,C2
0,4,3,21,14,0,0,C2
0,5,4,21,14,0,0,C2
0,4,4,20,14,0,0,C2
0,4,4,19,14,0,0,C2
0,4,4,19,14,0,0,C2
0,4,4,19,15,0,0,C2
0,4,5,19,15,0,0,C2
0,4,5,19,15,0,0,C2
0,4,5,19,14,0,0,C2
0,4,5,19,14,0,0,C2
0,4,5,19,14,0,0,C2
0,4,5,19,14,0,0,C2
0,4,5,19,14,0,0,C2
0,4,5,19,14,0,0,C2
0,3,5,18,15,0,0,C2
0,4,5,18,14,0,0,C2
0,4,5,19,15,0,0,C2
0,3,6,18,15,0,0,C2
0,3,6,18,15,0,0,C2
0,4,5,18,15,0,0,C2
0,4,5,18,15,0,0,C2
0,3,6,17,15,0,0,C2
0,3,7,16,16,0,0,C2
0,3,7,16,16,0,0,C2
0,3,7,16,16,0,0,C2
0,2,6,16,16,0,0,C2
0,2,7,16,16,0,0,C2
0,2,7,16,16,0,0,C2
0,2,6,16,15,0,0,C2
0,2,7,17,15,0,0,C2
0,4,6,18,14,0,0,C2
1,5,7,19,14,0,0,C2
0,5,6,18,14,0,0,C2
0,4,7,18,15,0,0,C2
1,4,8,17,15,0,0,C2
0,3,8,17,15,0,0,C2
0,3,8,17,15,0,0,C2
0,4,7,18,15,0,0,C2
0,4,7,18,15,0,0,C2
0,4,8,17,15,0,0,C2
0,4,7,17,15,0,0,C2
0,4,7,18,15,0,0,C2
0,4,7,18,15,0,0,C2
0,4,7,17,15,0,0,C2
0,4,8,17,15,0,0,C2
